ID,filename,NAME,(C2H6+C2H2)/C2H4_Select,C2H6/C2H4_Select,C2H2/C2H4_Select,C2H6-uptake_mmol/g,C2H2-uptake_mmol/g,C2H4-uptake_mmol/g,VOL_A3,DEN_g1cm-3,GCD_A,PLD_A,LCD_A,Sa_A2,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,All_Metals,Has_OMS,Open_Metal_Sites
3,ABAYOU_clean,ABAYOU_clean,6.322780386,1.789265916,4.533514469,1.390896465,3.524154344,0.777355927,18921,0.97927,11.27344,4.5108,11.27344,2447.44995,1293.51001,1320.90002,12595.5,0.66569,0.67978,Co,No, 
6,ABETIN_clean,ABETIN_clean,2.342189305,2.090050548,0.252138757,7.625339274,0.919902901,3.648399451,20019,0.59723,9.47418,7.83744,9.45292,4421.45996,2208.63989,3698.12012,14700.2998,0.73432,1.22954,Cu,No, 
8,ABEXEN_clean,ABEXEN_clean,2.217808143,1.870346231,0.347461912,3.05541211,0.567616474,1.633607756,15518,0.67437,18.8079,13.71867,18.7996,2482.78003,1599.93005,2372.47998,11649.7998,0.75073,1.11323,In,No, 
18,ac403674p_si_001_clean,ac403674p_clean,2.912789048,2.068147327,0.844641721,1.890797963,0.772211353,0.914247229,3258.86011,1.12072,8.50423,8.27985,8.50423,352.698,1082.28003,965.698,1914.77002,0.58756,0.52427,Zn,No, 
20,ACAJIZ_clean,ACAJIZ_clean,2.923368114,2.187911449,0.735456665,1.530809361,0.514574732,0.699666964,2916.84009,1.30148,6.1865,5.74044,6.1865,246.673,845.68402,649.78802,1416.06995,0.48548,0.37302,Cu,No, 
21,ACAJOF_clean,ACAJOF_clean,3.556069412,2.980460626,0.575608786,2.19615373,0.424137588,0.736850442,3191.37988,1.21871,6.86398,6.10482,6.86398,323.03699,1012.21997,830.56403,1639.16003,0.51362,0.42145,Cu,No, 
25,ACIBOE_clean,ACIBOE_clean,3.022697117,2.133694966,0.889002151,3.186113169,1.327491279,1.493237421,3779.18994,1.10094,8.25776,7.03071,8.25776,669.16498,1770.66003,1608.31006,2442.90991,0.64641,0.58714,Zn,Yes,Zn
30,ACOLOV_clean,ACOLOV_clean,3.04163526,2.17105949,0.87057577,4.23043851,1.696368652,1.948559461,10047.7998,0.86341,8.42183,5.53552,8.41851,1983.87,1974.43994,2286.79004,6879.20996,0.68465,0.79296,Cd,Yes,Cd
32,acs.cgd.6b00463_OLOMUZ1451936_clean,acs_cgd_6b00463_OLOMUZ1451936_clean,14.9505646,1.554849563,13.39571504,0.495442435,4.268455183,0.318643325,31227.5,1.07611,10.32513,7.87202,10.32103,5376.60986,1721.75,1599.97998,21195.0996,0.67873,0.63073,"Ca,Ag",Yes,"Ca,Ag"
33,acs.chemmater.6b02817_cm6b02817_si_004_clean,acs_chemmater_6b02817_cm6b02817_clean,2.427991392,2.192216273,0.235775119,4.315148345,0.464098651,1.968395362,10579,0.89769,10.39878,5.64581,7.91914,1492.03003,1410.37,1571.10999,7131.12012,0.67408,0.75091,Fe,Yes,Fe
35,acscombsci.5b00188_24205_clean,acscombsci_5b00188_24205_clean,2.488424218,2.318144749,0.170279469,3.498685536,0.256996167,1.509261032,676.17499,1.2624,5.32506,4.91361,5.32498,97.3239,1439.32996,1140.15002,386.21799,0.57118,0.45246,Zn,No, 
36,acscombsci.5b00188_3001288_clean,acscombsci_5b00188_3001288_clean,3.118145914,1.251647668,1.866498246,0.353783781,0.527574032,0.282654448,26606.6992,0.15612,29.41365,23.60037,29.35162,2406.29004,904.39301,5792.79004,25011.9003,0.94006,6.02124,Cu,No, 
37,acscombsci.5b00188_5020072_clean,acscombsci_5b00188_5020072_clean,2.354619445,1.517300881,0.837318564,0.812563071,0.448410828,0.535531931,4639.58008,0.42959,14.46967,11.94118,14.45544,877.06897,1890.41003,4400.43994,3867.32007,0.83355,1.94032,Zn,No, 
38,acscombsci.5b00188_5024922_clean,acscombsci_5b00188_5024922_clean,2.476687082,1.412180518,1.064506564,0.56639724,0.4269522,0.401079913,7690.97998,0.295,20.5205,15.85622,20.5205,1104.91003,1436.63,4869.91992,6834.43994,0.88863,3.01229,Zn,No, 
39,acscombsci.5b00188_5036495_clean,acscombsci_5b00188_5036495_clean,3.931143634,1.393219877,2.537923758,0.674657447,1.228972678,0.48424334,3529.75,0.33837,10.8747,9.02496,10.86921,815.48798,2310.33008,6827.79004,3024.25,0.85679,2.5321,Zn,No, 
40,acscombsci.5b00188_5040209_clean,acscombsci_5b00188_5040209_clean,3.0361452,2.396054022,0.640091178,2.670836687,0.713497686,1.114681331,1455.67004,1.04632,7.37321,5.53143,7.30173,244.11,1676.95996,1602.72998,900.60699,0.61869,0.5913,Zn,No, 
41,acscombsci.5b00188_8372_clean,acscombsci_5b00188_8372_clean,2.532550382,1.772512719,0.760037663,1.581540661,0.678150546,0.892259133,1430.06006,0.95885,5.7583,4.46842,5.7583,358.862,2509.40991,2617.09009,1016.76001,0.71099,0.7415,Zn,No, 
42,acs.inorgchem.5b02108_ic5b02108_si_002_clean,acs_inorgchem_5b02108_ic5b02108_clean,3.193461236,2.101897731,1.091563505,3.891213829,2.020796227,1.851285993,2742.15991,1.21033,7.194,7.0599,7.194,386.556,1409.67004,1164.69995,1628.76001,0.59397,0.49075,Ga,No, 
43,acs.inorgchem.5b02973_ic5b02973_si_002_clean,acs_inorgchem_5b02973_ic5b02973_clean,1.695895826,1.487757726,0.2081381,2.36130319,0.330347577,1.587155723,3140.70996,1.02785,11.38761,10.4443,11.38761,315.28299,1003.85999,976.66101,1806.43994,0.57517,0.55959,Cu,No, 
44,acs.inorgchem.6b00081_ic6b00081_si_001_clean,acs_inorgchem_6b00081_ic6b00081_clean,3.538673343,2.424547547,1.114125797,1.413528294,0.649543185,0.583007042,12940.7998,1.16215,7.28268,5.8056,7.28252,890.29303,687.97302,591.98297,6447.62988,0.49824,0.42872,Ni,No, 
45,acs.inorgchem.6b00433_ic6b00433_si_002_clean,acs_inorgchem_6b00433_ic6b00433_clean,2.817283476,2.310068635,0.50721484,2.119575546,0.465388844,0.917537909,2070.3501,1.10398,5.96211,4.62167,5.8482,196.17,947.521,858.27698,1056.97998,0.51053,0.46244,Cu,Yes,Cu
46,acs.inorgchem.6b00894_ic6b00894_si_002_clean,acs_inorgchem_6b00894_ic6b00894_clean,2.98599042,2.706578858,0.279411562,2.824374409,0.291572094,1.043521936,8337.21973,1.10689,6.64699,4.59021,5.63921,838.81403,1006.10999,908.94897,4412.89014,0.5293,0.47819,Zn,Yes,Zn
